2009,4405,3571,5295,11295,9324,13250,8214,6904,9528,NA,MercerCounty,combined,combined
2010,4677,3435,6097,11798,9269,14365,9272,7426,11061,NA,MercerCounty,combined,combined
2011,4579,3672,5708,12283,10073,14901,8653,7159,10343,NA,MercerCounty,combined,combined
2012,4383,3664,5176,12987,11002,15140,9410,8099,10819,NA,MercerCounty,combined,combined
2013,3931,2890,5048,13021,10592,15692,10144,8464,12120,NA,MercerCounty,combined,combined
2014,3469,2637,4371,12119,10031,14252,9565,8037,11199,NA,MercerCounty,combined,combined
2015,3183,2347,4261,11197,9072,13795,9679,7989,11680,NA,MercerCounty,combined,combined
2016,3258,2460,4088,11871,9526,14238,9791,8087,11500,NA,MercerCounty,combined,combined
2017,3169,2340,4205,11909,9763,14356,9877,8121,11544,NA,MercerCounty,combined,combined
2018,3777,2669,5090,13798,10872,17205,11094,8770,13945,NA,MercerCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,MercerCounty,combined,combined
2020,3138,2222,4318,11278,8770,14319,10239,8030,12727,NA,MercerCounty,combined,combined
2021,3420,2716,4212,12523,10238,15049,10875,8973,12982,NA,MercerCounty,combined,combined
2004,7613,6214,9250,17021,14248,20204,12443,10247,14780,NA,MiddlesexCounty,combined,combined
2005,7665,5772,9964,18569,15179,22608,13418,10832,16182,NA,MiddlesexCounty,combined,combined
2006,8524,7082,10017,20241,17097,23439,14699,12581,16893,NA,MiddlesexCounty,combined,combined
2007,8779,7229,10449,21404,17862,25000,15364,12947,17840,NA,MiddlesexCounty,combined,combined
2008,8444,6986,9943,20733,17433,23958,14924,12697,17091,NA,MiddlesexCounty,combined,combined
2009,9998,8432,11789,24204,20656,28032,17411,15009,20039,NA,MiddlesexCounty,combined,combined
2010,8968,6725,11456,25626,20637,31449,16157,13292,19443,NA,MiddlesexCounty,combined,combined
2011,9695,7788,11854,24221,19715,29191,16886,13959,20084,NA,MiddlesexCounty,combined,combined
2012,9900,8481,11524,27234,23649,31290,19454,17022,22085,NA,MiddlesexCounty,combined,combined
2013,9190,7095,11848,28019,23061,33331,22617,18823,26508,NA,MiddlesexCounty,combined,combined
2014,9627,7658,11897,29980,25410,34900,24452,20875,28483,NA,MiddlesexCounty,combined,combined
2015,9030,6810,11613,29060,23887,34544,25361,21430,29926,NA,MiddlesexCounty,combined,combined
2016,9038,7052,11256,29503,24546,34898,25566,21529,29807,NA,MiddlesexCounty,combined,combined
2017,8652,6450,11326,30099,25002,36229,25732,21493,30510,NA,MiddlesexCounty,combined,combined
2018,9458,6842,12858,32767,25738,40685,28179,22417,33862,NA,MiddlesexCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,MiddlesexCounty,combined,combined
2020,7646,5700,9857,28472,22473,34499,23252,18494,28029,NA,MiddlesexCounty,combined,combined
2021,8912,7174,10721,31378,26074,36727,26871,22584,31451,NA,MiddlesexCounty,combined,combined
2004,4329,3379,5521,13482,10896,16317,10714,8781,12952,NA,MonmouthCounty,combined,combined
2005,4576,3379,6223,14078,11277,17560,11140,9123,13317,NA,MonmouthCounty,combined,combined
2006,4350,3672,5344,14935,12704,17933,10668,9155,12730,NA,MonmouthCounty,combined,combined
2007,4828,3939,5887,17273,14363,20869,12142,10240,14460,NA,MonmouthCounty,combined,combined
2008,5301,4424,6300,18897,15913,22139,13374,11418,15497,NA,MonmouthCounty,combined,combined
2009,5618,4623,6719,20167,16805,23720,14406,12154,16704,NA,MonmouthCounty,combined,combined
2010,4884,3592,6443,18179,14556,22170,14253,11297,17276,NA,MonmouthCounty,combined,combined
2011,5329,4284,6512,19886,16307,23832,14266,11822,16864,NA,MonmouthCounty,combined,combined
